gpt-3.5-turbo_temperature1_maxtokens256_topp1_frequencypenalty0_presencepenalty0,gpt-3.5-turbo_temperature0_maxtokens256_topp1_frequencypenalty0_presencepenalty0,gpt-3.5-turbo_temperature0.5_maxtokens256_topp1_frequencypenalty0_presencepenalty0,gpt-3.5-turbo_temperature1.5_maxtokens256_topp1_frequencypenalty0_presencepenalty0,gpt-3.5-turbo_temperature2_maxtokens256_topp1_frequencypenalty0_presencepenalty0,gpt-3.5-turbo_temperature1_maxtokens256_topp0.5_frequencypenalty0_presencepenalty0,gpt-3.5-turbo_temperature1_maxtokens256_topp0.1_frequencypenalty0_presencepenalty0,gpt-3.5-turbo_temperature1_maxtokens256_topp1_frequencypenalty-2_presencepenalty0,gpt-3.5-turbo_temperature1_maxtokens256_topp1_frequencypenalty-1_presencepenalty0,gpt-3.5-turbo_temperature1_maxtokens256_topp1_frequencypenalty1_presencepenalty0,gpt-3.5-turbo_temperature1_maxtokens256_topp1_frequencypenalty2_presencepenalty0,gpt-3.5-turbo_temperature1_maxtokens256_topp1_frequencypenalty0_presencepenalty-2,gpt-3.5-turbo_temperature1_maxtokens256_topp1_frequencypenalty0_presencepenalty-1,gpt-3.5-turbo_temperature1_maxtokens256_topp1_frequencypenalty0_presencepenalty1,gpt-3.5-turbo_temperature1_maxtokens256_topp1_frequencypenalty0_presencepenalty2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
